Rk,Team,Date▲,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,MIN,2024-10-22,103,@,LAL,L 103-110,240,35,85,.412,22,44,.500,13,41,.317,20,27,.741,103,42,95,.442,37,65,.569,5,30,.167,21,25,.840,110
2,NYK,2024-10-22,109,@,BOS,L 109-132,240,43,78,.551,32,48,.667,11,30,.367,12,16,.750,109,48,95,.505,19,34,.559,29,61,.475,7,8,.875,132
3,LAL,2024-10-22,110,,MIN,W 110-103,240,42,95,.442,37,65,.569,5,30,.167,21,25,.840,110,35,85,.412,22,44,.500,13,41,.317,20,27,.741,103
4,BOS,2024-10-22,132,,NYK,W 132-109,240,48,95,.505,19,34,.559,29,61,.475,7,8,.875,132,43,78,.551,32,48,.667,11,30,.367,12,16,.750,109
5,MIA,2024-10-23,97,,ORL,L 97-116,240,32,82,.390,21,48,.438,11,34,.324,22,29,.759,97,41,96,.427,23,47,.489,18,49,.367,16,22,.727,116
6,POR,2024-10-23,104,,GSW,L 104-140,240,36,92,.391,28,58,.483,8,34,.235,24,30,.800,104,48,93,.516,28,45,.622,20,48,.417,24,30,.800,140
7,HOU,2024-10-23,105,,CHO,L 105-110,240,38,103,.369,25,60,.417,13,43,.302,16,20,.800,105,38,85,.447,23,46,.500,15,39,.385,19,24,.792,110
8,TOR,2024-10-23,106,,CLE,L 106-136,240,36,86,.419,24,55,.436,12,31,.387,22,29,.759,106,51,87,.586,37,57,.649,14,30,.467,20,26,.769,136
9,PHI,2024-10-23,109,,MIL,L 109-124,240,41,98,.418,33,67,.493,8,31,.258,19,27,.704,109,43,80,.538,27,43,.628,16,37,.432,22,31,.710,124
10,DET,2024-10-23,109,,IND,L 109-115,240,38,88,.432,29,55,.527,9,33,.273,24,28,.857,109,42,83,.506,33,52,.635,9,31,.290,22,25,.880,115
