Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,CLE,2024-11-15,144,,CHI,W 144-126,240,51,93,0.548,30,50,0.6,21,43,0.488,21,24,0.875,144,45,88,0.511,25,46,0.543,20,42,0.476,16,20,0.8,126
2,DEN,2024-10-29,144,@,BRK,W 144-139 (OT),265,46,89,0.517,33,62,0.532,13,27,0.481,39,47,0.83,144,49,96,0.51,29,44,0.659,20,52,0.385,21,27,0.778,139
3,HOU,2024-11-17,143,@,CHI,W 143-107,240,55,105,0.524,45,71,0.634,10,34,0.294,23,32,0.719,143,36,107,0.336,22,51,0.431,14,56,0.25,21,22,0.955,107
4,GSW,2024-10-23,140,@,POR,W 140-104,240,48,93,0.516,28,45,0.622,20,48,0.417,24,30,0.8,140,36,92,0.391,28,58,0.483,8,34,0.235,24,30,0.8,104
5,SAS,2024-11-13,139,,WAS,W 139-130,240,48,92,0.522,30,48,0.625,18,44,0.409,25,32,0.781,139,49,95,0.516,31,51,0.608,18,44,0.409,14,16,0.875,130
6,BOS,2024-11-13,139,@,BRK,W 139-114,240,50,93,0.538,28,47,0.596,22,46,0.478,17,24,0.708,139,40,79,0.506,21,36,0.583,19,43,0.442,15,18,0.833,114
7,BRK,2024-10-29,139,,DEN,L 139-144 (OT),265,49,96,0.51,29,44,0.659,20,52,0.385,21,27,0.778,139,46,89,0.517,33,62,0.532,13,27,0.481,39,47,0.83,144
8,CHO,2024-10-30,138,,TOR,W 138-133,240,49,94,0.521,29,49,0.592,20,45,0.444,20,25,0.8,138,52,91,0.571,43,63,0.683,9,28,0.321,20,30,0.667,133
9,OKC,2024-11-01,137,@,POR,W 137-114,240,51,95,0.537,32,46,0.696,19,49,0.388,16,19,0.842,137,39,83,0.47,24,48,0.5,15,35,0.429,21,31,0.677,114
10,CLE,2024-11-08,136,,GSW,W 136-117,240,46,85,0.541,26,43,0.605,20,42,0.476,24,28,0.857,136,47,98,0.48,34,56,0.607,13,42,0.31,10,14,0.714,117
11,CLE,2024-10-23,136,@,TOR,W 136-106,240,51,87,0.586,37,57,0.649,14,30,0.467,20,26,0.769,136,36,86,0.419,24,55,0.436,12,31,0.387,22,29,0.759,106
12,DEN,2024-11-08,135,,MIA,W 135-122,240,50,81,0.617,32,46,0.696,18,35,0.514,17,19,0.895,135,46,94,0.489,26,51,0.51,20,43,0.465,10,13,0.769,122
13,MIN,2024-11-07,135,@,CHI,W 135-119,240,51,93,0.548,35,55,0.636,16,38,0.421,17,17,1,135,47,88,0.534,32,52,0.615,15,36,0.417,10,15,0.667,119
14,UTA,2024-11-04,135,@,CHI,W 135-126,240,48,89,0.539,32,53,0.604,16,36,0.444,23,30,0.767,135,45,95,0.474,31,58,0.534,14,37,0.378,22,25,0.88,126
15,IND,2024-10-30,135,,BOS,W 135-132 (OT),265,50,104,0.481,35,66,0.53,15,38,0.395,20,24,0.833,135,44,109,0.404,25,52,0.481,19,57,0.333,25,31,0.806,132
