Rk,Date▼,Per.,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2024-10-26,Q1,DET,,BOS,L,1,8,0,2,.000,0,2,.000,0,0,,0,0,,0,2,2,2,0,1,2,1,0
2,2024-10-25,Q1,DET,@,CLE,L,1,10,4,6,.667,3,4,.750,1,2,.500,0,0,,0,0,0,2,0,0,4,0,9
3,2024-10-23,Q1,DET,,IND,L,1,9,0,4,.000,0,3,.000,0,1,.000,2,2,1.000,0,1,1,3,0,0,1,1,2
4,2024-04-01,Q1,DET,,MEM,L,1,9,5,6,.833,4,5,.800,1,1,1.000,1,1,1.000,1,1,2,4,1,0,1,0,12
5,2024-03-29,Q1,DET,@,WAS,W,1,9,2,7,.286,1,5,.200,1,2,.500,1,1,1.000,0,2,2,2,0,0,1,1,6
6,2024-03-27,Q1,DET,@,MIN,L,1,9,5,8,.625,3,5,.600,2,3,.667,0,0,,0,0,0,1,0,0,1,0,12
7,2024-03-22,Q1,DET,,BOS,L,1,9,3,7,.429,3,6,.500,0,1,.000,2,2,1.000,1,1,2,4,1,0,0,2,8
8,2024-03-20,Q1,DET,,IND,L,1,9,4,7,.571,4,7,.571,0,0,,2,3,.667,0,3,3,4,0,0,2,0,10
9,2024-03-17,Q1,DET,,MIA,L,1,9,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,3,1,0,1,0,0
10,2024-03-15,Q1,DET,,MIA,L,1,8,1,5,.200,1,3,.333,0,2,.000,1,1,1.000,1,1,2,2,0,0,1,0,3
11,2024-03-13,Q1,DET,,TOR,W,1,10,3,6,.500,3,6,.500,0,0,,0,0,,0,1,1,4,1,0,0,0,6
12,2024-03-11,Q1,DET,,CHO,W,1,10,5,8,.625,4,5,.800,1,3,.333,1,1,1.000,0,1,1,3,1,0,0,0,12
13,2024-03-09,Q1,DET,,DAL,L,1,8,4,7,.571,2,4,.500,2,3,.667,0,0,,1,2,3,2,0,0,2,2,10
14,2024-03-07,Q1,DET,,BRK,W,1,10,2,2,1.000,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,4,0,0,2,0,7
15,2024-03-05,Q1,DET,@,MIA,L,1,9,3,5,.600,2,3,.667,1,2,.500,2,2,1.000,0,1,1,1,0,0,2,1,9
16,2024-03-03,Q1,DET,@,ORL,L,1,9,3,6,.500,3,6,.500,0,0,,0,0,,0,1,1,2,0,0,0,1,6
17,2024-03-01,Q1,DET,,CLE,L,1,9,1,3,.333,1,3,.333,0,0,,0,0,,0,0,0,3,1,0,1,0,2
18,2024-02-27,Q1,DET,@,CHI,W,1,9,2,3,.667,2,3,.667,0,0,,0,0,,1,0,1,1,0,0,0,0,4
19,2024-02-26,Q1,DET,@,NYK,L,1,9,4,4,1.000,2,2,1.000,2,2,1.000,0,0,,1,0,1,2,0,0,1,0,10
20,2024-02-24,Q1,DET,,ORL,L,1,9,3,5,.600,2,3,.667,1,2,.500,0,0,,0,2,2,3,0,0,0,1,7
21,2024-02-22,Q1,DET,@,IND,L,1,8,2,3,.667,2,2,1.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,4
22,2024-02-14,Q1,DET,@,PHO,L,1,9,2,3,.667,2,3,.667,0,0,,3,4,.750,0,0,0,3,1,0,3,0,7
23,2024-02-13,Q1,DET,@,LAL,L,1,8,1,5,.200,1,5,.200,0,0,,0,0,,1,1,2,2,0,0,0,0,2
24,2024-02-10,Q1,DET,@,LAC,L,1,9,0,2,.000,0,2,.000,0,0,,0,0,,0,2,2,4,0,0,0,0,0
25,2024-02-08,Q1,DET,@,POR,W,1,7,0,3,.000,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0
26,2024-02-04,Q1,DET,,ORL,L,1,7,2,3,.667,2,3,.667,0,0,,0,0,,0,1,1,3,1,0,0,2,4
27,2024-02-02,Q1,DET,,LAC,L,1,9,2,5,.400,2,4,.500,0,1,.000,0,0,,0,0,0,4,1,0,0,0,4
28,2024-01-31,Q1,DET,@,CLE,L,1,9,1,4,.250,1,3,.333,0,1,.000,0,0,,0,1,1,1,1,0,0,1,2
29,2024-01-27,Q1,DET,,WAS,L,1,7,2,3,.667,1,2,.500,1,1,1.000,1,2,.500,0,1,1,4,0,0,3,1,6
30,2024-01-07,Q1,DET,@,DEN,L,1,5,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,2,2,2,0,0,0,1,3
31,2024-01-05,Q1,DET,@,GSW,L,1,9,2,7,.286,2,4,.500,0,3,.000,0,0,,0,1,1,1,0,0,0,0,4
32,2024-01-03,Q1,DET,@,UTA,L,1,10,2,5,.400,2,5,.400,0,0,,0,1,.000,0,1,1,4,0,0,0,1,4
33,2024-01-01,Q1,DET,@,HOU,L,1,11,2,9,.222,2,7,.286,0,2,.000,0,0,,0,1,1,3,0,0,0,0,4
34,2023-12-30,Q1,DET,,TOR,W,1,8,1,6,.167,1,5,.200,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2
35,2023-12-28,Q1,DET,@,BOS,L,1,9,5,8,.625,5,7,.714,0,1,.000,0,0,,0,0,0,1,1,0,1,1,10
36,2023-12-26,Q1,DET,,BRK,L,1,8,1,3,.333,1,2,.500,0,1,.000,0,0,,0,2,2,3,0,0,0,2,2
37,2023-12-23,Q1,DET,@,BRK,L,1,7,2,4,.500,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,2,5
38,2023-12-21,Q1,DET,,UTA,L,1,9,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,5,0,0,1,0,3
39,2023-12-18,Q1,DET,@,ATL,L,1,10,2,5,.400,2,4,.500,0,1,.000,0,1,.000,1,1,2,2,0,0,0,0,4
40,2023-12-16,Q1,DET,@,MIL,L,1,9,4,5,.800,4,4,1.000,0,1,.000,1,2,.500,0,1,1,0,1,0,1,1,9
41,2023-12-15,Q1,DET,@,PHI,L,1,9,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,2,1,0
42,2023-12-13,Q1,DET,,PHI,L,1,9,0,5,.000,0,2,.000,0,3,.000,0,0,,0,1,1,4,0,0,0,2,0
43,2023-12-11,Q1,DET,,IND,L,1,9,6,9,.667,5,5,1.000,1,4,.250,0,0,,0,0,0,2,0,0,1,1,13
44,2023-12-08,Q1,DET,@,ORL,L,1,9,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,1,0,0,0,5
45,2023-12-06,Q1,DET,,MEM,L,1,8,3,3,1.000,3,3,1.000,0,0,,0,0,,0,0,0,2,1,0,0,0,6
46,2023-12-02,Q1,DET,,CLE,L,1,10,2,4,.500,1,1,1.000,1,3,.333,2,2,1.000,0,5,5,6,0,0,0,0,7
47,2023-11-30,Q1,DET,@,NYK,L,1,9,4,6,.667,3,3,1.000,1,3,.333,0,0,,0,0,0,1,1,0,2,0,9
48,2023-11-29,Q1,DET,,LAL,L,1,8,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,3,0,0,0,0,2
49,2023-11-27,Q1,DET,,WAS,L,1,7,1,3,.333,1,3,.333,0,0,,0,0,,0,1,1,2,1,0,0,1,2
50,2023-11-24,Q1,DET,@,IND,L,1,8,1,4,.250,1,4,.250,0,0,,2,2,1.000,0,0,0,2,0,0,0,0,4
51,2023-11-20,Q1,DET,,DEN,L,1,9,0,3,.000,0,3,.000,0,0,,1,1,1.000,0,0,0,3,1,0,0,0,1
52,2023-11-19,Q1,DET,@,TOR,L,1,9,3,7,.429,2,6,.333,1,1,1.000,0,0,,1,1,2,1,0,0,0,0,7
53,2023-11-17,Q1,DET,@,CLE,L,1,8,3,5,.600,2,2,1.000,1,3,.333,0,0,,0,1,1,2,0,0,2,1,7
54,2023-11-14,Q1,DET,,ATL,L,1,8,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,2,1,0,0,1,0
55,2023-11-12,Q1,DET,@,CHI,L,1,8,0,3,.000,0,1,.000,0,2,.000,0,0,,0,2,2,2,0,2,1,2,0
56,2023-11-10,Q1,DET,,PHI,L,1,9,4,7,.571,4,6,.667,0,1,.000,0,0,,1,1,2,2,0,0,0,1,8
57,2023-11-08,Q1,DET,@,MIL,L,1,9,1,5,.200,1,4,.250,0,1,.000,0,0,,0,2,2,2,0,0,0,1,2
58,2023-11-06,Q1,DET,,GSW,L,1,8,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,1,1,0,0,0,2,0,2
59,2023-11-05,Q1,DET,,PHO,L,1,8,3,6,.500,3,5,.600,0,1,.000,0,0,,0,0,0,0,0,0,1,0,6
60,2023-11-02,Q1,DET,@,NOP,L,1,8,3,5,.600,1,2,.500,2,3,.667,0,0,,0,0,0,3,0,0,2,2,8
61,2023-11-01,Q1,DET,,POR,L,1,8,3,3,1.000,0,0,,3,3,1.000,0,0,,0,1,1,1,0,0,1,0,9
62,2023-10-30,Q1,DET,@,OKC,L,1,8,1,3,.333,0,1,.000,1,2,.500,2,2,1.000,0,0,0,0,0,0,2,0,5
63,2023-10-28,Q1,DET,,CHI,W,1,10,2,4,.500,2,3,.667,0,1,.000,1,2,.500,0,2,2,2,0,0,1,1,5
64,2023-10-27,Q1,DET,@,CHO,W,1,8,3,6,.500,1,4,.250,2,2,1.000,0,0,,0,1,1,1,1,0,2,0,8
65,2023-10-25,Q1,DET,@,MIA,L,1,9,4,5,.800,3,4,.750,1,1,1.000,0,0,,0,0,0,1,0,0,2,1,9
